id,text,text length,words
a0Nv0Pd.jpg,6433,4,1
a0Nv1bq.jpg,,0,0
a0Nv1jn.jpg,,0,0
a0Nv3ed.jpg,,0,0
a0Nv4Yv.jpg,"me about to start ™~
the:pc lijust build 2
i pone ~

. If youforgot; then:
arate sss beee ot Acinic.

 

NPT it aT thet",119,25
a0Nv7Vn.jpg,"Me to my google search history after |
watching 400 videos of parn

~~",70,14
a0Nv85Q.jpg,,0,0
a0Nv9nL.jpg,,0,0
a0NvB0n.jpg,"Kim Jong Un heart surgeon:

(cave tes)
I'm in danger. memecreatoranp.cor",72,11
a0NvB3X.jpg,,0,0
a0NvB4v.jpg,,0,0
a0NvB5d.jpg,"Seal accidentally scares baby polar

bear",41,6
a0NvB8L.jpg,"2 (eae

I: Rye pa pe
ae

Bh ee a

Pe yb hat ""ihe al",51,15
a0NvBEL.jpg,"Sanders Jakarin

January 9 at 3:41pm
Having a boyfriend with anxiety is lots of
fun because you can tease around with
other guys then make him apologize for
calling you out. Try it and call him
possesive and shit and he'll actually
believe you and even blame himself when
you leave him é3 &

2 3. Comm

i@ Like lm Comment > Shar",328,63
a0NvBev.jpg,,0,0
a0NvBjB.jpg,,0,0
a0NvbKn.jpg,,0,0
a0NvbMX.jpg,"""If | had a dollar for everytime
someone called me ugly I'd be
broke af because I'm perfect,
suck it haters""

- Apollo",118,23
a0NvBoQ.jpg,"WHEN THISICOVIDEISICRISISHIS
OUEST OO GE) 10) ChiOuse
BETWEEN GOING/ON/A)MAJOR",78,9
a0NvBOZ.jpg,{0 Pretty good!,15,3
a0NvBqd.jpg,BUTS,4,1
a0NvBrz.jpg,"spaceforce commander bill
@BillRatchet

not gonna lie i'm kinda hype for the
alien invasion imagine your plug pulls
up on you in a fuckin UFO

1:15 AM - 4/28/20 - Twitter for iPhone

YW MAN 121 ed oa)",200,38
a0NvBVn.jpg,"| could end the coronavirus
just by thinki ite
gi

ri

~ *",58,13
a0NvBwZ.jpg,"THE SECRET
COMMONWEALTH

 

 

“Preview | | Tellafriend | (Reserve Mill
Published by: Penguin and David Fickling Books
Number of Pages: 784 - Illustrated
Fiction/Non-Fiction Fiction
Genre: Young Adult Fiction, Fantasy Fiction
Target Audience: Young Adult (13+)
poteased: 1 Jan 2020
Eile Format: ePub (6.5MB)
ISBN: 9780241373361

More eBooks from: Young Adult Fiction, Fantasy Fiction",383,54
a0NvBxO.jpg,"WORLD RIGHT NOW:

  

, eer i z
me & my Bois submitting online
assignments & online exams",89,17
a0NvBXQ.jpg,,0,0
a0NvD5L.jpg,,0,0
a0NvdGL.jpg,"ToL IN VS BIDEN

  

MEMEFUL.COM",32,5
a0NvDLn.jpg,,0,0
a0NvDNO.jpg,"oT Ro Set
SUSE Cea",18,5
a0NvDpq.jpg,"Se cnt
Wom

LEAD TOJHE ARREST
ym AE AT",38,9
a0NvDZB.jpg,""" & Scott Gustin
et @ScottGustin

Just stop what you're doing and enjoy listening to

the #AvengersEndgame opening night crowd react
to Captain America wielding Thor's hammer.

CHILLS.",184,28
a0NveAq.jpg,rere,4,1
a0NvenO.jpg,,0,0
a0Nvezz.jpg,,0,0
a0Nvg8O.jpg,"BREAKING: First look at the two surgeons in charge of
Kim Jong Un’s failed surgery.",83,15
a0NvG9X.jpg,"dangerous and contagious social distancing and...

Scientists all over the world | [We advise you to weal
have decided that covid 19 is facemasks, practice",155,25
a0NvgDX.jpg,"or

i
a
it

i
‘iy
i

5
ia
5

i",30,11
a0NvgEO.jpg,,0,0
a0NvGjv.jpg,,0,0
a0NvGqn.jpg,,0,0
a0NvgVL.jpg,"Teacher: | have posted another video
about the lecture on YouTube.

Cee BOL AS

Report video

SYSSd0E-|eroln cine

AV Tol tal meme eH imei s
Hateful or abusive content
Harmful dangerous acts
Child abuse

Infringes my rights
@dibsmemes_png",238,38
a0Nvgyv.jpg,,0,0
a0NvGzv.jpg,"ocks and

@ We have oo ‘
ack ock in our ass.

aS

 

We aVve.BIOCK. ogee",72,16
a0Nvj2z.jpg,"When nature wants to kill people so
badly that it created big hail stones with
FUCKING spikes",93,17
a0NvKbB.jpg,,0,0
a0NvMxB.jpg,"ra -) Tim Stearns @ v
‘ @StearnsLab

In 1720 Marseille allowed a ship
from plague-ridden Cyprus into
port, under pressure from
merchants who wanted the goods
and didn’t want to wait for the
usual quarantine. More than half
the population of Marseille died in
the next two years.
en.wikipedia.org/wiki/Great_Pla...",313,50
